City,Country,Latitude,Longitude,Temperature,Category
Kremenchuk,Ukraine,49.08,33.43,7.43,Cool
Kryvyy Rih,Ukraine,47.93,33.34,8.61,Cool
Le Mans,France,48,0.1,10.59,Warm
Lille,France,50.65,3.08,9.65,Warm
Limoges,France,45.83,1.25,10.32,Warm
Linz,Austria,48.32,14.29,6.79,Cool
Lisbon,Portugal,38.72,-9.14,15.52,Hot
Ljubljana,Slovenia,46.06,14.51,9.27,Warm
Lvov,Ukraine,49.83,24.03,7.04,Cool
Maastricht,Netherlands,50.85,5.68,8.63,Cool
Madrid,Spain,40.4,-3.68,11.19,Warm
Magdeburg,Germany,52.13,11.62,8.26,Cool
Makiyivka,Ukraine,48.03,37.97,8.7,Cool
Malatya,Turkey,38.37,38.3,14.13,Warm
Malm”,Sweden,55.58,13.03,7.33,Cool
Manisa,Turkey,38.63,27.44,15.1,Hot
Marbella,Spain,36.52,-4.88,17.19,Hot
Marseille,France,43.29,5.38,14.98,Warm
Mazyr,Belarus,52.05,29.27,6.25,Cool
Messina,Italy,38.2,15.55,16.54,Hot
Metz,France,49.12,6.18,8.88,Cool
Milan,Italy,45.47,9.21,6.65,Cool
Minsk,Belarus,53.9,27.57,5.28,Cool
Montpellier,France,43.61,3.87,11.11,Warm
Mulhouse,France,47.75,7.35,6.68,Cool
Murcia,Spain,37.98,-1.13,15,Hot
Nice,France,43.72,7.27,8.82,Cool
Nis,Serbia,43.33,21.9,9.36,Warm
Novi Sad,Serbia,45.25,19.85,10.34,Warm
Odense,Denmark,55.4,10.38,7.73,Cool
Ordu,Turkey,41,37.87,11.92,Warm
Orsha,Belarus,54.52,30.42,4.93,Cold
Oslo,Norway,59.92,10.75,2.32,Cold
Ostrava,Czech Republic,49.83,18.25,7.66,Cool
Oulu,Finland,65,25.47,1.45,Cold
Oviedo,Spain,43.35,-5.83,10.85,Warm
Palermo,Italy,38.13,13.35,17.9,Hot
Patras,Greece,38.23,21.73,16.9,Hot
Perpignan,France,42.7,2.9,10.95,Warm
Perugia,Italy,43.11,12.39,11.7,Warm
Pescara,Italy,42.46,14.22,15.13,Hot
Pinsk,Belarus,52.13,26.09,6.42,Cool
Pleven,Bulgaria,43.42,24.61,10.51,Warm
Plovdiv,Bulgaria,42.15,24.75,8.27,Cool
Podgorica,Montenegro,42.47,19.27,9.99,Warm
Poznan,Poland,52.41,16.9,8.31,Cool
Prague,Czech Republic,50.08,14.47,8.05,Cool
Reims,France,49.25,4.03,9.4,Warm
Riga,Latvia,56.95,24.1,5.16,Cool
Rijeka,Croatia,45.33,14.45,9.27,Warm
Rivne,Ukraine,50.62,26.25,6.76,Cool
Rome,Italy,41.9,12.48,15.1,Hot
Rostock,Germany,54.07,12.15,8.07,Cool
Ruse,Bulgaria,43.85,25.97,10.59,Warm
Salamanca,Spain,40.97,-5.67,11.63,Warm
Salzburg,Austria,47.81,13.04,4.62,Cold
Samsun,Turkey,41.28,36.34,12.05,Warm
Santander,Spain,43.38,-3.8,13.4,Warm
Sarajevo,Bosnia and Herzegovina,43.85,13.38,9.6,Warm
Sibiu,Romania,45.8,24.14,6.97,Cool
Siirt,Turkey,37.94,41.93,12.48,Warm
Sivas,Turkey,39.75,37.03,8.05,Cool
Skopje,Macedonia,42,21.43,9.36,Warm
Split,Croatia,43.52,16.47,12.46,Warm
Stara Zagora,Bulgaria,42.42,25.62,10.9,Warm
Stavanger,Norway,58.97,5.68,5.53,Cool
Stockholm,Sweden,59.35,18.1,6.26,Cool
Sumy,Ukraine,50.92,34.78,6.28,Cool
Swansea,United Kingdom,51.63,-3.95,9.73,Warm
Szeged,Hungary,46.25,20.15,10.34,Warm
Tallinn,Estonia,59.43,24.73,4.82,Cold
Tampere,Finland,61.5,23.75,3.59,Cold
Tarsus,Turkey,36.92,34.88,11.21,Warm
Tartu,Estonia,58.38,26.71,4.36,Cold
Tekirdag,Turkey,40.99,27.51,13.02,Warm
Toulouse,France,43.62,1.45,10.25,Warm
Trabzon,Turkey,40.98,39.72,10.28,Warm
Trieste,Italy,45.65,13.8,11.21,Warm
Trikala,Greece,39.56,21.77,16,Hot
Trondheim,Norway,63.42,10.42,4.53,Cold
Turku,Finland,60.45,22.25,4.72,Cold
Uppsala,Sweden,59.86,17.64,4.17,Cold
Valencia,Spain,39.49,-0.4,16.02,Hot
Vienna,Austria,48.2,16.37,7.86,Cool
Vigo,Spain,42.22,-8.73,12.85,Warm
Vilnius,Lithuania,54.68,25.32,5.38,Cool
Warsaw,Poland,52.25,21,7.2,Cool
Wroclaw,Poland,51.11,17.03,7.17,Cool
Yevpatoriya,Ukraine,45.2,33.36,10.02,Warm
Zaragoza,Spain,41.65,-0.89,14.17,Warm
Zhytomyr,Ukraine,50.25,28.66,6.67,Cool
Zonguldak,Turkey,41.43,31.78,10.64,Warm
Zurich,Switzerland,47.38,8.56,6.68,Cool
